Country Code,Series Name,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
TUR,Individuals using the Internet (% of population),0.192725,0.473695,0.698805,2.29212,3.76169,5.18948,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.0657,45.13,46.25,51.04,53.745,58.3477,64.6846,71.0428,73.9767
TUR,GDP (constant 2010 US$),4.59397E+11,4.94208E+11,5.0609E+11,4.89575E+11,5.23519E+11,4.93416E+11,5.25231E+11,5.55501E+11,6.09917E+11,6.64763E+11,7.1095E+11,7.46807E+11,7.52894E+11,7.16581E+11,7.76968E+11,8.63989E+11,9.05361E+11,9.82188E+11,1.03071E+12,1.09342E+12,1.12975E+12,1.21451E+12,1.25044E+12,1.26191E+12
